@relation 'test_samemaps_tutorial1_score3-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,7,8,6'

@attribute distNorth numeric
@attribute distSouth numeric
@attribute distEast numeric
@attribute distWest numeric
@attribute Score numeric
@attribute lastMove {North,South,East,West,Stop}
@attribute NextScore numeric

@data
99999,99999,6,8,0,East,-3
99999,5,5,7,-1,South,-4
6,4,4,99999,-2,South,-5
5,99999,3,5,-3,East,-6
4,2,4,4,-4,South,193
3,1,3,99999,-5,South,192
2,2,2,0,-6,West,191
99999,13,15,13,193,South,190
14,12,14,12,192,South,189
13,11,13,11,191,South,188
12,99999,12,10,190,West,187
11,99999,11,9,189,West,186
10,99999,10,8,188,West,185
9,99999,9,7,187,West,184
99999,99999,8,6,186,West,183
5,99999,7,5,185,North,182
4,6,99999,4,184,North,181
3,5,99999,3,183,North,180
99999,4,99999,2,182,West,379
99999,3,3,1,181,West,378
99999,2,2,0,180,West,377
99999,21,21,19,379,West,376
18,20,20,18,378,North,375
17,19,99999,17,377,North,374
16,18,18,16,376,North,373
15,17,17,15,375,North,372
99999,16,16,14,374,West,371
13,15,15,15,373,North,370
12,14,99999,14,372,North,369
11,13,99999,13,371,North,368
10,12,99999,12,370,North,367
99999,11,9,11,369,East,366
99999,99999,8,10,368,East,365
99999,99999,7,9,367,East,364
99999,99999,6,8,366,East,363
99999,99999,5,7,365,East,362
99999,4,6,6,364,South,361
5,3,5,99999,363,South,360
4,99999,4,2,362,West,559
99999,99999,3,1,361,West,558
99999,99999,2,0,360,West,557
99999,99999,7,99999,559,East,556
99999,99999,6,8,558,East,555
99999,99999,5,7,557,East,554
6,99999,4,6,556,East,553
5,99999,3,5,555,East,552
99999,99999,6,8,0,East,-3
99999,4,4,6,-1,South,-4
4,2,2,99999,-2,South,-5
4,99999,2,4,-3,East,-6
3,1,3,3,-4,South,-7
3,1,3,99999,-5,South,-8
3,1,3,1,-6,South,-9
3,1,3,1,-7,South,190
3,1,3,1,-8,South,189
2,99999,2,0,-9,West,188
11,99999,11,9,190,West,187
11,99999,11,9,189,West,186
11,99999,11,9,188,West,185
11,99999,11,9,187,West,184
99999,99999,11,9,186,West,183
9,99999,11,9,185,North,182
7,9,99999,7,184,North,181
6,8,99999,6,183,North,180
99999,8,99999,6,182,West,179
99999,8,8,6,181,West,178
99999,6,6,4,180,West,177
99999,6,6,4,179,West,176
2,4,4,4,178,North,175
2,4,99999,4,177,North,374
2,4,2,4,176,North,373
2,2,0,2,175,East,372
13,15,99999,13,374,North,371
99999,15,15,13,373,West,370
99999,15,15,13,372,West,369
13,15,15,15,371,North,368
12,14,99999,14,370,North,367
10,12,99999,12,369,North,366
8,10,99999,10,368,North,365
99999,10,8,10,367,East,364
99999,99999,6,8,366,East,363
99999,99999,6,8,365,East,362
99999,99999,4,6,364,East,361
99999,99999,3,5,363,East,560
99999,1,3,3,362,South,559
2,0,2,99999,361,South,558
2,4,2,4,0,North,197
1,3,1,3,-1,North,196
